Timestamp,Tensión (V),Corriente (A),Potencia (W),Frecuencia (Hz),Factor Potencia,Potencia Aparente (VA),Potencia Reactiva (VAR),RSSI
2025-11-16T21:20:48.996Z,114.4,0.77,87.9,60,1,88.1,5.8,-20
2025-11-16T21:20:49.234Z,114.4,0.77,87.9,60,1,88.1,5.8,-20
2025-11-16T21:20:49.506Z,114.4,0.77,87.9,60,1,88.1,5.8,-19
2025-11-16T21:20:49.810Z,114.4,0.77,87.9,60,1,88.1,5.8,-19
2025-11-16T21:20:49.957Z,114.4,0.77,87.9,60,1,88.1,5.8,-19
2025-11-16T21:20:50.195Z,114.5,0.77,88,60,1,88.2,5.4,-19
2025-11-16T21:20:50.439Z,114.5,0.77,88,60,1,88.2,5.4,-19
2025-11-16T21:20:50.712Z,114.5,0.77,88,60,1,88.2,5.4,-20
2025-11-16T21:20:50.926Z,114.5,0.77,88,60,1,88.2,5.4,-20
2025-11-16T21:20:51.157Z,114.5,0.77,88,60,1,88.2,5.4,-19
2025-11-16T21:20:51.399Z,116.4,0.78,90.3,60,1,90.8,9.4,-19
2025-11-16T21:20:51.654Z,116.4,0.78,90.3,60,1,90.8,9.4,-18
2025-11-16T21:20:51.878Z,116.4,0.78,90.3,59.9,1,90.8,9.4,-19
2025-11-16T21:20:52.126Z,116.4,0.78,90.3,60,1,90.8,9.4,-19
2025-11-16T21:20:52.364Z,116.4,0.78,90.3,60,1,90.8,9.4,-19
2025-11-16T21:20:52.609Z,116.4,0.78,90.3,60,1,90.8,9.4,-19
2025-11-16T21:20:52.844Z,116.8,0.78,90.7,60,1,91.1,8.6,-19
2025-11-16T21:20:53.194Z,116.8,0.78,90.7,60,1,91.1,8.6,-19
2025-11-16T21:20:53.496Z,116.8,0.78,90.7,60,1,91.1,8.6,-19
2025-11-16T21:20:53.574Z,116.8,0.78,90.7,60,1,91.1,8.6,-19
2025-11-16T21:20:53.826Z,116.8,0.78,90.7,60,1,91.1,8.6,-19
2025-11-16T21:20:54.068Z,116.8,0.78,90.8,60,1,91.1,7.4,-19
2025-11-16T21:20:54.419Z,116.8,0.78,90.8,60,1,91.1,7.4,-19
2025-11-16T21:20:54.543Z,116.8,0.78,90.8,60,1,91.1,7.4,-19
2025-11-16T21:20:54.777Z,116.8,0.78,90.8,60,1,91.1,7.4,-19
2025-11-16T21:20:55.037Z,116.8,0.78,90.8,60,1,91.1,7.4,-19
2025-11-16T21:21:06.806Z,116.8,0.78,90.8,59.9,1,91.1,7.4,-19
2025-11-16T21:21:07.044Z,116.8,0.78,90.8,59.9,1,91.1,7.4,-19
2025-11-16T21:21:07.285Z,116.8,0.78,90.8,60,1,91.1,7.4,-19
2025-11-16T21:21:07.627Z,116.8,0.78,90.8,60,1,91.1,7.4,-19
2025-11-16T21:21:07.936Z,116.8,0.78,90.8,60,1,91.1,7.4,-19
2025-11-16T21:21:08.243Z,116.8,0.78,90.7,60,1,91.1,8.6,-19
2025-11-16T21:21:08.288Z,116.8,0.78,90.7,60,1,91.1,8.6,-19
2025-11-16T21:21:08.550Z,116.8,0.78,90.7,60,1,91.1,8.6,-19
2025-11-16T21:21:08.725Z,116.8,0.78,90.7,60,1,91.1,8.6,-19
2025-11-16T21:21:08.968Z,116.8,0.78,90.7,60,1,91.1,8.6,-19
2025-11-16T21:21:09.210Z,116.8,0.78,90.7,60,1,91.1,8.6,-19
2025-11-16T21:21:09.469Z,117,0.78,91,60,1,91.3,6.9,-19
2025-11-16T21:21:09.783Z,117,0.78,91,60,1,91.3,6.9,-20
2025-11-16T21:21:10.087Z,117,0.78,91,59.9,1,91.3,6.9,-20
2025-11-16T21:21:10.396Z,117,0.78,91,59.9,1,91.3,6.9,-19
2025-11-16T21:21:10.440Z,117,0.78,91,59.9,1,91.3,6.9,-19
2025-11-16T21:21:10.653Z,116.4,0.78,90.3,59.9,1,90.8,9.4,-19
2025-11-16T21:21:10.897Z,116.4,0.78,90.3,59.9,1,90.8,9.4,-19
2025-11-16T21:21:11.134Z,116.4,0.78,90.3,59.9,1,90.8,9.4,-19
