Timestamp,Tensión (V),Corriente (A),Potencia (W),Frecuencia (Hz),Factor Potencia,Potencia Aparente (VA),Potencia Reactiva (VAR),RSSI
2025-11-16T21:28:36.320Z,120.8,0.79,95.4,60,1,95.4,2.5,-19
2025-11-16T21:28:36.329Z,120.8,0.79,95.4,60,1,95.4,2.5,-19
2025-11-16T21:28:36.341Z,120.8,0.79,95.4,60,1,95.4,2.5,-19
2025-11-16T21:28:36.373Z,120.8,0.79,95.4,60,1,95.4,2.5,-19
2025-11-16T21:28:36.380Z,120.3,0.79,94.8,60,1,95,6.7,-19
2025-11-16T21:28:36.392Z,120.3,0.79,94.8,60,1,95,6.7,-19
2025-11-16T21:28:36.407Z,120.3,0.79,94.8,60,1,95,6.7,-19
2025-11-16T21:28:36.413Z,120.3,0.79,94.8,60,1,95,6.7,-19
2025-11-16T21:28:36.427Z,120.3,0.79,94.8,60,1,95,6.7,-19
2025-11-16T21:28:36.438Z,120.4,0.79,94.8,60,1,95.1,7.7,-19
2025-11-16T21:28:36.456Z,120.4,0.79,94.8,60,1,95.1,7.7,-19
2025-11-16T21:28:36.758Z,120.4,0.79,94.8,60,1,95.1,7.7,-19
2025-11-16T21:28:37.061Z,120.4,0.79,94.8,59.9,1,95.1,7.7,-19
2025-11-16T21:28:37.110Z,120.4,0.79,94.8,60,1,95.1,7.7,-19
2025-11-16T21:28:37.326Z,120.3,0.79,94.8,60,1,95,6.7,-19
2025-11-16T21:28:37.577Z,120.3,0.79,94.8,60,1,95,6.7,-19
2025-11-16T21:29:43.744Z,120.5,0.13,11.1,60,0.7,15.7,11.1,-18
2025-11-16T21:29:44.040Z,120.5,0.13,11,60,0.69,15.7,11.2,-18
2025-11-16T21:29:44.239Z,120.5,0.13,11,60,0.69,15.7,11.2,-19
2025-11-16T21:29:44.469Z,120.5,0.13,11,60,0.69,15.7,11.2,-19
2025-11-16T21:29:44.717Z,120.5,0.13,11,59.9,0.69,15.7,11.2,-19
2025-11-16T21:29:44.949Z,120.5,0.13,11,60,0.69,15.7,11.2,-18
2025-11-16T21:29:45.267Z,120.5,0.13,11,60,0.69,15.7,11.2,-18
2025-11-16T21:29:45.571Z,120.6,0.13,11.1,60,0.7,15.7,11.1,-18
2025-11-16T21:29:45.880Z,120.6,0.13,11.1,60,0.7,15.7,11.1,-18
2025-11-16T21:29:45.923Z,120.6,0.13,11.1,60,0.7,15.7,11.1,-18
2025-11-16T21:29:46.157Z,120.6,0.13,11.1,60,0.7,15.7,11.1,-18
2025-11-16T21:29:46.389Z,120.6,0.13,11.1,59.9,0.7,15.7,11.1,-18
2025-11-16T21:29:46.635Z,120.4,0.13,11.1,60,0.7,15.7,11,-18
2025-11-16T21:29:46.868Z,120.4,0.13,11.1,60,0.7,15.7,11,-18
2025-11-16T21:29:47.119Z,120.4,0.13,11.1,60,0.7,15.7,11,-18
2025-11-16T21:29:47.415Z,120.4,0.13,11.1,59.9,0.7,15.7,11,-18
2025-11-16T21:29:47.728Z,120.4,0.13,11.1,59.9,0.7,15.7,11,-18
2025-11-16T21:29:48.023Z,120.2,0.13,11.1,60,0.7,15.6,11,-18
2025-11-16T21:29:48.090Z,120.2,0.13,11.1,60,0.7,15.6,11,-18
2025-11-16T21:29:48.331Z,120.2,0.13,11.1,60,0.7,15.6,11,-18
2025-11-16T21:29:48.644Z,120.2,0.13,11.1,60,0.7,15.6,11,-18
2025-11-16T21:29:48.804Z,120.2,0.13,11.1,60,0.7,15.6,11,-18
2025-11-16T21:29:49.049Z,120.3,0.13,11.1,60,0.7,15.6,11,-18
2025-11-16T21:29:49.291Z,120.3,0.13,11.1,60,0.7,15.6,11,-18
2025-11-16T21:29:49.569Z,120.3,0.13,11.1,60,0.7,15.6,11,-18
2025-11-16T21:29:49.766Z,120.3,0.13,11.1,60,0.7,15.6,11,-18
2025-11-16T21:29:50.009Z,120.3,0.13,11.1,60,0.7,15.6,11,-18
2025-11-16T21:29:50.244Z,120.3,0.13,11.1,60,0.7,15.6,11,-18
2025-11-16T21:29:50.485Z,120.6,0.13,11.1,60,0.7,15.7,11.1,-18
2025-11-16T21:29:50.790Z,120.6,0.13,11.1,60,0.7,15.7,11.1,-18
2025-11-16T21:29:50.968Z,120.6,0.13,11.1,60,0.7,15.7,11.1,-18
2025-11-16T21:29:51.208Z,120.6,0.13,11.1,60,0.7,15.7,11.1,-18
2025-11-16T21:29:51.443Z,120.6,0.13,11.1,60,0.7,15.7,11.1,-18
2025-11-16T21:29:51.683Z,120.9,0.13,11.2,60,0.71,15.7,11,-18
2025-11-16T21:29:52.022Z,120.9,0.13,11.2,60,0.71,15.7,11,-18
2025-11-16T21:29:52.163Z,120.9,0.13,11.2,60,0.71,15.7,11,-18
2025-11-16T21:29:52.426Z,120.9,0.13,11.2,60,0.71,15.7,11,-18
2025-11-16T21:29:52.660Z,120.9,0.13,11.2,60,0.71,15.7,11,-18
2025-11-16T21:29:52.888Z,120.3,0.13,11.1,60,0.7,15.6,11,-18
2025-11-16T21:29:53.248Z,120.3,0.13,11.1,60,0.7,15.6,11,-20
2025-11-16T21:29:53.380Z,120.3,0.13,11.1,60,0.7,15.6,11,-20
2025-11-16T21:29:53.615Z,120.3,0.13,11.1,60,0.7,15.6,11,-20
2025-11-16T21:29:53.861Z,120.3,0.13,11.1,60,0.7,15.6,11,-19
2025-11-16T21:29:54.089Z,120.3,0.13,11.1,60,0.7,15.6,11,-19
2025-11-16T21:29:54.326Z,120.3,0.13,11.1,60,0.7,15.6,11,-19
2025-11-16T21:29:54.572Z,120.3,0.13,11.1,60,0.7,15.6,11,-18
